S No_S No,Vehicle Category_Vehicle Category,Calendar Year_2023,TOTAL_TOTAL
1,FOUR WHEELER (INVALID CARRIAGE),3554,3554
2,HEAVY GOODS VEHICLE,301114,301114
3,HEAVY MOTOR VEHICLE,5782,5782
4,HEAVY PASSENGER VEHICLE,21706,21706
5,LIGHT GOODS VEHICLE,603274,603274
6,LIGHT MOTOR VEHICLE,4438856,4438856
7,LIGHT PASSENGER VEHICLE,284954,284954
8,MEDIUM GOODS VEHICLE,37451,37451
9,MEDIUM MOTOR VEHICLE,11703,11703
10,MEDIUM PASSENGER VEHICLE,27139,27139
11,OTHER THAN MENTIONED ABOVE,70260,70260
12,THREE WHEELER(NT),7262,7262
13,THREE WHEELER(T),1098188,1098188
14,TWO WHEELER (INVALID CARRIAGE),24458,24458
15,TWO WHEELER(NT),17056427,17056427
16,TWO WHEELER(T),16435,16435
