S No_S No,Vehicle Category_Vehicle Category,Calendar Year_2017,TOTAL_TOTAL
1,FOUR WHEELER (INVALID CARRIAGE),1455,1455
2,HEAVY GOODS VEHICLE,281060,281060
3,HEAVY MOTOR VEHICLE,4447,4447
4,HEAVY PASSENGER VEHICLE,33527,33527
5,LIGHT GOODS VEHICLE,533205,533205
6,LIGHT MOTOR VEHICLE,3460112,3460112
7,LIGHT PASSENGER VEHICLE,235981,235981
8,MEDIUM GOODS VEHICLE,31109,31109
9,MEDIUM MOTOR VEHICLE,7790,7790
10,MEDIUM PASSENGER VEHICLE,19721,19721
11,OTHER THAN MENTIONED ABOVE,47058,47058
12,THREE WHEELER(NT),18138,18138
13,THREE WHEELER(T),552474,552474
14,TWO WHEELER (INVALID CARRIAGE),5322,5322
15,TWO WHEELER(NT),18066825,18066825
16,TWO WHEELER(T),5753,5753
