S No_S No,Vehicle Category_Vehicle Category,Calendar Year_2016,TOTAL_TOTAL
1,FOUR WHEELER (INVALID CARRIAGE),972,972
2,HEAVY GOODS VEHICLE,255414,255414
3,HEAVY MOTOR VEHICLE,4331,4331
4,HEAVY PASSENGER VEHICLE,37951,37951
5,LIGHT GOODS VEHICLE,501811,501811
6,LIGHT MOTOR VEHICLE,3103803,3103803
7,LIGHT PASSENGER VEHICLE,265701,265701
8,MEDIUM GOODS VEHICLE,33133,33133
9,MEDIUM MOTOR VEHICLE,6875,6875
10,MEDIUM PASSENGER VEHICLE,19138,19138
11,OTHER THAN MENTIONED ABOVE,47409,47409
12,THREE WHEELER(NT),26365,26365
13,THREE WHEELER(T),522630,522630
14,TWO WHEELER (INVALID CARRIAGE),3194,3194
15,TWO WHEELER(NT),16490901,16490901
16,TWO WHEELER(T),2885,2885
