S No_S No,Vehicle Category_Vehicle Category,Month Wise_JAN,Month Wise_FEB,Month Wise_MAR,Month Wise_APR,Month Wise_MAY,Month Wise_JUN,Month Wise_JUL,Month Wise_AUG,Month Wise_SEP,Month Wise_OCT,Month Wise_NOV,Month Wise_DEC,TOTAL_TOTAL
1,FOUR WHEELER (INVALID CARRIAGE),321,334,332,343,357,274,303,232,195,336,271,248,3546
2,HEAVY GOODS VEHICLE,27468,26496,27297,29412,23571,19162,21218,18965,20124,25959,22153,20172,281997
3,HEAVY MOTOR VEHICLE,376,400,473,437,403,370,350,311,350,385,277,361,4493
4,HEAVY PASSENGER VEHICLE,2467,2634,3245,2800,2729,2438,2780,2295,2744,3651,2305,2521,32609
5,LIGHT GOODS VEHICLE,54654,52106,51858,47507,46736,41545,46970,43766,43571,59672,51608,43950,583943
6,LIGHT MOTOR VEHICLE,459041,384057,373998,371104,350934,332911,376917,355108,318130,531919,385188,376302,4615609
7,LIGHT PASSENGER VEHICLE,33202,29889,32295,31609,32434,30315,34252,31455,27538,33476,26396,21759,364620
8,MEDIUM GOODS VEHICLE,3277,3267,3143,3350,3113,2711,3119,3098,3315,3745,3199,2639,37976
9,MEDIUM MOTOR VEHICLE,989,1197,1052,985,863,761,779,667,788,919,972,959,10931
10,MEDIUM PASSENGER VEHICLE,1662,2521,2613,2769,3277,3761,3635,2689,2329,2317,1789,1579,30941
11,OTHER THAN MENTIONED ABOVE,6949,7809,8340,7069,6310,5368,5154,5206,5879,8543,6886,7320,80833
12,THREE WHEELER (INVALID CARRIAGE),0,0,1,2,3,0,1,4,1,0,2,1,15
13,THREE WHEELER(NT),51,68,99,63,77,95,73,87,87,92,116,68,976
14,THREE WHEELER(T),100109,95950,105251,80064,98194,94232,110434,105403,106445,122759,108209,93820,1220870
15,TWO WHEELER (INVALID CARRIAGE),841,2503,3182,1342,884,807,1618,1004,630,731,882,1443,15867
16,TWO WHEELER(NT),1463894,1443655,1533833,1648450,1538425,1379604,1448396,1342846,1206371,2072981,2625758,1200442,18904655
17,TWO WHEELER(T),1135,1007,1509,1148,1618,1436,1082,1524,2583,2547,1801,2097,19487
