S No_S No,Vehicle Category_Vehicle Category,Calendar Year_2021,TOTAL_TOTAL
1,FOUR WHEELER (INVALID CARRIAGE),2175,2175
2,HEAVY GOODS VEHICLE,172978,172978
3,HEAVY MOTOR VEHICLE,4754,4754
4,HEAVY PASSENGER VEHICLE,6673,6673
5,LIGHT GOODS VEHICLE,482409,482409
6,LIGHT MOTOR VEHICLE,3713971,3713971
7,LIGHT PASSENGER VEHICLE,84887,84887
8,MEDIUM GOODS VEHICLE,38684,38684
9,MEDIUM MOTOR VEHICLE,17159,17159
10,MEDIUM PASSENGER VEHICLE,5023,5023
11,OTHER THAN MENTIONED ABOVE,49814,49814
12,THREE WHEELER(NT),5966,5966
13,THREE WHEELER(T),391958,391958
14,TWO WHEELER (INVALID CARRIAGE),9948,9948
15,TWO WHEELER(NT),13916440,13916440
16,TWO WHEELER(T),8394,8394
