S No_S No,Vehicle Category_Vehicle Category,Month Wise_JAN,Month Wise_FEB,Month Wise_MAR,Month Wise_APR,Month Wise_MAY,Month Wise_JUN,Month Wise_JUL,Month Wise_AUG,Month Wise_SEP,Month Wise_OCT,Month Wise_NOV,Month Wise_DEC,TOTAL_TOTAL
1,FOUR WHEELER (INVALID CARRIAGE),132,140,123,133,152,129,119,83,98,152,153,115,1529
2,HEAVY GOODS VEHICLE,28881,29269,34242,27437,23698,18636,19292,17110,15766,16145,16720,14767,261963
3,HEAVY MOTOR VEHICLE,479,480,636,454,357,352,397,406,351,435,504,436,5287
4,HEAVY PASSENGER VEHICLE,2284,2194,2668,2744,2796,2149,2341,2282,2130,2958,2498,2105,29149
5,LIGHT GOODS VEHICLE,58610,55268,57194,50583,50049,44442,50662,45557,45227,50818,60864,51082,620356
6,LIGHT MOTOR VEHICLE,370134,283516,303080,281051,284009,255603,275111,249597,216591,316577,337452,279602,3452323
7,LIGHT PASSENGER VEHICLE,19364,21725,22500,18921,21241,19342,22064,19769,17763,18023,18972,16387,236071
8,MEDIUM GOODS VEHICLE,4442,4163,4324,3923,3536,3012,3372,2902,2831,2970,3479,2991,41945
9,MEDIUM MOTOR VEHICLE,1430,1430,1842,1370,1268,1167,1305,1102,937,1198,1314,1319,15682
10,MEDIUM PASSENGER VEHICLE,1200,1299,1645,1788,2487,2894,2535,1860,1516,1214,1226,1048,20712
11,OTHER THAN MENTIONED ABOVE,3745,3807,4771,3932,3647,3431,3505,2880,2764,3068,3886,3679,43115
12,THREE WHEELER(NT),1398,1606,1645,1220,1407,1554,1389,1465,1491,2833,1868,1305,19181
13,THREE WHEELER(T),63116,60480,63023,53657,56558,54642,65324,61039,63918,71784,75939,64306,753786
14,TWO WHEELER (INVALID CARRIAGE),959,1693,1625,652,473,526,755,626,617,629,591,531,9677
15,TWO WHEELER(NT),1572100,1433178,1589957,1525468,1627012,1515027,1589774,1404194,1280712,1634928,2003937,1452155,18628442
16,TWO WHEELER(T),1504,1225,2545,2820,930,1677,917,1920,1044,2014,1199,1198,18993
