S No_S No,Vehicle Category_Vehicle Category,Calendar Year_2022,TOTAL_TOTAL
1,FOUR WHEELER (INVALID CARRIAGE),2807,2807
2,HEAVY GOODS VEHICLE,262101,262101
3,HEAVY MOTOR VEHICLE,5740,5740
4,HEAVY PASSENGER VEHICLE,13423,13423
5,LIGHT GOODS VEHICLE,593204,593204
6,LIGHT MOTOR VEHICLE,4133808,4133808
7,LIGHT PASSENGER VEHICLE,164854,164854
8,MEDIUM GOODS VEHICLE,38451,38451
9,MEDIUM MOTOR VEHICLE,14734,14734
10,MEDIUM PASSENGER VEHICLE,16095,16095
11,OTHER THAN MENTIONED ABOVE,50484,50484
12,THREE WHEELER (INVALID CARRIAGE),1,1
13,THREE WHEELER(NT),13816,13816
14,THREE WHEELER(T),670173,670173
15,TWO WHEELER (INVALID CARRIAGE),13720,13720
16,TWO WHEELER(NT),15565795,15565795
17,TWO WHEELER(T),18992,18992
