S No_S No,Vehicle Category_Vehicle Category,Month Wise_JAN,Month Wise_FEB,Month Wise_MAR,Month Wise_APR,Month Wise_MAY,Month Wise_JUN,Month Wise_JUL,Month Wise_AUG,Month Wise_SEP,Month Wise_OCT,Month Wise_NOV,Month Wise_DEC,TOTAL_TOTAL
1,FOUR WHEELER (INVALID CARRIAGE),92,85,75,93,75,58,59,58,74,111,97,95,972
2,HEAVY GOODS VEHICLE,22282,25634,27337,24856,23001,21787,16562,16396,19170,21129,21202,16058,255414
3,HEAVY MOTOR VEHICLE,388,370,456,366,346,328,297,357,339,348,410,326,4331
4,HEAVY PASSENGER VEHICLE,2441,2806,3337,3150,3331,3074,2797,3362,3691,3943,2705,3314,37951
5,LIGHT GOODS VEHICLE,44046,45338,46888,37404,40435,41699,38754,39458,40482,44413,43893,39001,501811
6,LIGHT MOTOR VEHICLE,295127,256265,263364,241299,258161,246973,241442,249376,233294,302301,275535,240666,3103803
7,LIGHT PASSENGER VEHICLE,21786,21161,21762,20242,21962,24469,22553,23895,24548,23839,21097,18387,265701
8,MEDIUM GOODS VEHICLE,3310,2920,2917,2792,2977,2637,2383,2446,2512,2975,2843,2421,33133
9,MEDIUM MOTOR VEHICLE,570,511,626,473,544,578,618,489,552,640,642,632,6875
10,MEDIUM PASSENGER VEHICLE,916,1137,1380,1475,2258,3124,2054,1848,1643,1278,1025,1000,19138
11,OTHER THAN MENTIONED ABOVE,3907,4292,4522,3862,4312,4649,3894,3765,3415,3327,3605,3859,47409
12,THREE WHEELER(NT),2424,2767,2742,1959,2056,2594,2187,2047,2016,2290,1864,1419,26365
13,THREE WHEELER(T),41050,42237,48893,43443,45418,48419,42464,43415,44870,49109,41308,32004,522630
14,TWO WHEELER (INVALID CARRIAGE),245,351,430,259,215,261,293,252,268,215,206,199,3194
15,TWO WHEELER(NT),1297266,1340914,1337744,1354564,1445399,1418863,1312440,1283217,1259629,1538944,1716430,1185491,16490901
16,TWO WHEELER(T),221,315,267,160,208,148,164,274,240,338,321,229,2885
