S No_S No,Vehicle Category_Vehicle Category,Month Wise_JAN,Month Wise_FEB,Month Wise_MAR,Month Wise_APR,Month Wise_MAY,Month Wise_JUN,Month Wise_JUL,Month Wise_AUG,Month Wise_SEP,Month Wise_OCT,Month Wise_NOV,Month Wise_DEC,TOTAL_TOTAL
1,FOUR WHEELER (INVALID CARRIAGE),248,260,304,283,307,347,315,291,297,276,331,295,3554
2,HEAVY GOODS VEHICLE,26670,26543,32153,30719,24467,20749,19718,21414,23817,27779,25280,21805,301114
3,HEAVY MOTOR VEHICLE,465,449,578,593,592,542,429,426,457,476,401,374,5782
4,HEAVY PASSENGER VEHICLE,1441,1470,2275,2095,2253,1753,1442,1471,1828,1838,2049,1791,21706
5,LIGHT GOODS VEHICLE,56351,51550,55186,47616,45561,45523,46558,47660,49800,55256,54257,47956,603274
6,LIGHT MOTOR VEHICLE,401702,345525,397162,323420,352580,373483,353901,366862,364327,396547,409044,354303,4438856
7,LIGHT PASSENGER VEHICLE,17881,15095,22639,20616,22769,25382,27449,30569,28054,27737,24534,22229,284954
8,MEDIUM GOODS VEHICLE,3138,3043,3373,3540,3003,2461,2843,3135,3144,3710,3163,2898,37451
9,MEDIUM MOTOR VEHICLE,1136,1040,1118,877,1003,977,775,808,926,981,1023,1039,11703
10,MEDIUM PASSENGER VEHICLE,1314,1457,2335,2614,2675,3533,3267,2562,2143,1922,1727,1590,27139
11,OTHER THAN MENTIONED ABOVE,5225,6127,7131,5456,5506,7683,4248,4597,5466,6278,6331,6212,70260
12,THREE WHEELER(NT),1960,2094,2049,470,73,97,86,103,83,71,93,83,7262
13,THREE WHEELER(T),69510,74893,88489,73180,82167,89829,97862,103856,105880,110379,103848,98295,1098188
14,TWO WHEELER (INVALID CARRIAGE),674,1503,4118,2118,2149,1639,2121,2180,2643,3281,634,1398,24458
15,TWO WHEELER(NT),1267983,1270040,1449545,1232541,1496487,1313497,1230907,1258250,1313886,1513043,2257528,1452720,17056427
16,TWO WHEELER(T),1056,1058,1385,1249,1344,1170,1065,974,2431,1623,1454,1626,16435
