S No_S No,Vehicle Category_Vehicle Category,Calendar Year_2019,TOTAL_TOTAL
1,FOUR WHEELER (INVALID CARRIAGE),1529,1529
2,HEAVY GOODS VEHICLE,261963,261963
3,HEAVY MOTOR VEHICLE,5287,5287
4,HEAVY PASSENGER VEHICLE,29149,29149
5,LIGHT GOODS VEHICLE,620356,620356
6,LIGHT MOTOR VEHICLE,3452323,3452323
7,LIGHT PASSENGER VEHICLE,236071,236071
8,MEDIUM GOODS VEHICLE,41945,41945
9,MEDIUM MOTOR VEHICLE,15682,15682
10,MEDIUM PASSENGER VEHICLE,20712,20712
11,OTHER THAN MENTIONED ABOVE,43115,43115
12,THREE WHEELER(NT),19181,19181
13,THREE WHEELER(T),753786,753786
14,TWO WHEELER (INVALID CARRIAGE),9677,9677
15,TWO WHEELER(NT),18628442,18628442
16,TWO WHEELER(T),18993,18993
