S No_S No,Vehicle Category_Vehicle Category,Calendar Year_2020,TOTAL_TOTAL
1,FOUR WHEELER (INVALID CARRIAGE),1480,1480
2,HEAVY GOODS VEHICLE,110491,110491
3,HEAVY MOTOR VEHICLE,4054,4054
4,HEAVY PASSENGER VEHICLE,17964,17964
5,LIGHT GOODS VEHICLE,493016,493016
6,LIGHT MOTOR VEHICLE,3089511,3089511
7,LIGHT PASSENGER VEHICLE,104341,104341
8,MEDIUM GOODS VEHICLE,25161,25161
9,MEDIUM MOTOR VEHICLE,16362,16362
10,MEDIUM PASSENGER VEHICLE,9725,9725
11,OTHER THAN MENTIONED ABOVE,40014,40014
12,THREE WHEELER(NT),8512,8512
13,THREE WHEELER(T),398097,398097
14,TWO WHEELER (INVALID CARRIAGE),9801,9801
15,TWO WHEELER(NT),14299524,14299524
16,TWO WHEELER(T),5851,5851
