S No_S No,Vehicle Category_Vehicle Category,Month Wise_JAN,Month Wise_FEB,Month Wise_MAR,Month Wise_APR,Month Wise_MAY,Month Wise_JUN,Month Wise_JUL,Month Wise_AUG,Month Wise_SEP,Month Wise_OCT,Month Wise_NOV,Month Wise_DEC,TOTAL_TOTAL
1,FOUR WHEELER (INVALID CARRIAGE),166,144,152,105,14,94,97,120,132,129,162,165,1480
2,HEAVY GOODS VEHICLE,18157,22234,28398,3322,88,464,1359,2634,5281,7505,9041,12008,110491
3,HEAVY MOTOR VEHICLE,534,552,637,194,35,168,267,262,367,295,338,405,4054
4,HEAVY PASSENGER VEHICLE,2776,4041,7967,2229,2,20,26,54,220,193,221,215,17964
5,LIGHT GOODS VEHICLE,60957,65706,81881,14217,2692,19215,28410,33480,44622,45359,47945,48532,493016
6,LIGHT MOTOR VEHICLE,359610,287398,275034,29454,43775,186769,258094,271208,289565,334115,378936,375553,3089511
7,LIGHT PASSENGER VEHICLE,21190,19115,21921,3870,1086,3607,4446,4522,6081,5918,6548,6037,104341
8,MEDIUM GOODS VEHICLE,3627,3999,5318,771,60,258,581,891,1859,2244,2647,2906,25161
9,MEDIUM MOTOR VEHICLE,1584,1585,1923,303,179,1026,1370,1199,1712,1827,1565,2089,16362
10,MEDIUM PASSENGER VEHICLE,1307,1617,4430,1129,1,25,65,123,274,228,293,233,9725
11,OTHER THAN MENTIONED ABOVE,3590,4329,5245,998,452,2260,2853,3000,4626,3857,3796,5008,40014
12,THREE WHEELER(NT),1453,1688,1337,17,82,290,211,294,484,1245,740,671,8512
13,THREE WHEELER(T),70128,72868,83680,13090,2125,13044,16250,18209,26183,25313,26807,30400,398097
14,TWO WHEELER (INVALID CARRIAGE),646,1343,3628,560,42,109,676,186,599,499,435,1078,9801
15,TWO WHEELER(NT),1455569,1473862,2071258,416320,192857,912371,1015433,1065334,1182659,1234896,1644118,1634843,14299520
16,TWO WHEELER(T),1369,932,985,220,44,109,99,85,118,588,537,765,5851
