S No_S No,Vehicle Category_Vehicle Category,Month Wise_JAN,Month Wise_FEB,Month Wise_MAR,Month Wise_APR,Month Wise_MAY,Month Wise_JUN,Month Wise_JUL,Month Wise_AUG,Month Wise_SEP,Month Wise_OCT,Month Wise_NOV,Month Wise_DEC,TOTAL_TOTAL
1,FOUR WHEELER (INVALID CARRIAGE),149,119,113,129,124,116,141,92,117,116,160,114,1490
2,HEAVY GOODS VEHICLE,35396,31920,34529,32770,27672,23167,23637,23657,26847,32202,26984,24120,342901
3,HEAVY MOTOR VEHICLE,360,352,431,456,468,377,406,324,310,412,338,363,4597
4,HEAVY PASSENGER VEHICLE,2037,1983,2294,2444,2307,2310,2108,2098,1860,2461,2140,2133,26175
5,LIGHT GOODS VEHICLE,56901,54638,59946,57548,56002,52211,55765,53288,53473,59676,60872,64956,685276
6,LIGHT MOTOR VEHICLE,348851,282048,326185,301511,309830,286976,303904,280162,262807,291833,319663,306420,3620190
7,LIGHT PASSENGER VEHICLE,20456,18709,23706,22867,23078,24395,24868,23384,21547,20321,20449,18753,262533
8,MEDIUM GOODS VEHICLE,3671,3649,3748,3950,3570,3080,3225,2960,3465,3843,3580,3854,42595
9,MEDIUM MOTOR VEHICLE,1302,1023,982,1035,1023,957,1077,953,1185,1420,1348,1492,13797
10,MEDIUM PASSENGER VEHICLE,1067,1083,1316,1789,2267,2838,2304,1796,1649,1496,1108,982,19695
11,OTHER THAN MENTIONED ABOVE,3614,4186,4084,3791,3917,3015,3338,2620,2527,3147,3294,3375,40908
12,THREE WHEELER (INVALID CARRIAGE),0,0,0,1,0,0,0,0,0,0,0,0,1
13,THREE WHEELER(NT),1576,1329,1932,1313,1504,1727,1490,1571,1480,2292,1614,1099,18927
14,THREE WHEELER(T),65035,63680,65855,61602,60792,57912,62237,60121,61838,67295,62601,63336,752304
15,TWO WHEELER (INVALID CARRIAGE),549,407,482,825,971,742,1214,772,842,1118,665,840,9427
16,TWO WHEELER(NT),1569492,1441941,1679737,1643954,1822800,1642030,1638706,1507103,1480399,1533337,1901707,1705406,19566612
17,TWO WHEELER(T),722,851,798,733,1286,1557,1213,1448,2735,1512,1326,1476,15657
