S No_S No,Vehicle Category_Vehicle Category,Calendar Year_2025,TOTAL_TOTAL
1,FOUR WHEELER (INVALID CARRIAGE),2014,2014
2,HEAVY GOODS VEHICLE,175448,175448
3,HEAVY MOTOR VEHICLE,2827,2827
4,HEAVY PASSENGER VEHICLE,23942,23942
5,LIGHT GOODS VEHICLE,365394,365394
6,LIGHT MOTOR VEHICLE,2935513,2935513
7,LIGHT PASSENGER VEHICLE,251713,251713
8,MEDIUM GOODS VEHICLE,26673,26673
9,MEDIUM MOTOR VEHICLE,6080,6080
10,MEDIUM PASSENGER VEHICLE,25128,25128
11,OTHER THAN MENTIONED ABOVE,54784,54784
12,THREE WHEELER (INVALID CARRIAGE),4,4
13,THREE WHEELER(NT),783,783
14,THREE WHEELER(T),761429,761429
15,TWO WHEELER (INVALID CARRIAGE),16160,16160
16,TWO WHEELER(NT),11181828,11181828
17,TWO WHEELER(T),10646,10646
