S No_S No,Vehicle Category_Vehicle Category,Calendar Year_2024,TOTAL_TOTAL
1,FOUR WHEELER (INVALID CARRIAGE),3546,3546
2,HEAVY GOODS VEHICLE,281997,281997
3,HEAVY MOTOR VEHICLE,4493,4493
4,HEAVY PASSENGER VEHICLE,32609,32609
5,LIGHT GOODS VEHICLE,583943,583943
6,LIGHT MOTOR VEHICLE,4615609,4615609
7,LIGHT PASSENGER VEHICLE,364620,364620
8,MEDIUM GOODS VEHICLE,37976,37976
9,MEDIUM MOTOR VEHICLE,10931,10931
10,MEDIUM PASSENGER VEHICLE,30941,30941
11,OTHER THAN MENTIONED ABOVE,80833,80833
12,THREE WHEELER (INVALID CARRIAGE),15,15
13,THREE WHEELER(NT),976,976
14,THREE WHEELER(T),1220870,1220870
15,TWO WHEELER (INVALID CARRIAGE),15867,15867
16,TWO WHEELER(NT),18904655,18904655
17,TWO WHEELER(T),19487,19487
