S No_S No,Vehicle Category_Vehicle Category,Month Wise_JAN,Month Wise_FEB,Month Wise_MAR,Month Wise_APR,Month Wise_MAY,Month Wise_JUN,Month Wise_JUL,Month Wise_AUG,Month Wise_SEP,Month Wise_OCT,Month Wise_NOV,Month Wise_DEC,TOTAL_TOTAL
1,FOUR WHEELER (INVALID CARRIAGE),186,225,254,197,215,232,216,241,227,254,302,258,2807
2,HEAVY GOODS VEHICLE,20716,20330,25179,27221,21817,19848,18179,19141,21096,22638,24721,21215,262101
3,HEAVY MOTOR VEHICLE,503,438,523,497,467,469,456,386,436,514,500,551,5740
4,HEAVY PASSENGER VEHICLE,957,1072,883,1039,866,905,1212,1320,1281,1206,1460,1222,13423
5,LIGHT GOODS VEHICLE,48259,44963,55017,49817,44383,46914,48199,46942,50029,51768,58121,48792,593204
6,LIGHT MOTOR VEHICLE,338574,311511,358335,329352,338728,338856,332597,344938,323051,402487,368508,346871,4133808
7,LIGHT PASSENGER VEHICLE,9395,8386,11660,11715,13126,14394,15621,16921,16981,15787,15874,14994,164854
8,MEDIUM GOODS VEHICLE,3876,3477,3760,4020,3032,2879,2694,2800,3050,3043,3238,2582,38451
9,MEDIUM MOTOR VEHICLE,1155,1146,1623,1161,1160,1148,1026,929,1281,1366,1471,1268,14734
10,MEDIUM PASSENGER VEHICLE,535,585,703,1007,1185,2184,2196,1986,1731,1350,1335,1298,16095
11,OTHER THAN MENTIONED ABOVE,3477,4179,5391,4207,3831,3827,3245,3105,4184,4154,4988,5896,50484
12,THREE WHEELER (INVALID CARRIAGE),0,0,1,0,0,0,0,0,0,0,0,0,1
13,THREE WHEELER(NT),475,541,634,625,648,707,861,1220,1773,2381,2002,1949,13816
14,THREE WHEELER(T),43174,41566,51167,44921,44039,48832,53330,59399,67223,69926,78969,67627,670173
15,TWO WHEELER (INVALID CARRIAGE),673,1166,2049,2269,1503,1072,1378,1017,669,504,581,839,13720
16,TWO WHEELER(NT),1153101,1106240,1286211,1327300,1365402,1226219,1134508,1178775,1076986,1722875,1853807,1134371,15565795
17,TWO WHEELER(T),1071,1089,882,1628,1695,1752,1258,1671,1346,2152,2332,2116,18992
